"NAME","Year","Total_Avg_Annual_Pay_Total","Total_Avg_Annual_Pay_Black_Business","Total_Avg_Employees_Total","Total_Avg_Employees_Black_Business","Total_Sum_of_Firms_Total","Total_Sum_of_Firms_Black_Business"
"Cedar Rapids, IA Metro Area",2019,164243.525862069,0,3244.52068965517,1,109576,0
"Cedar Rapids, IA Metro Area",2020,130526.875993641,468.875,2623.70747217806,43.625,107234,62
"Cedar Rapids, IA Metro Area",2021,81879.9386106624,0,1481.8352180937,1,45855,0
"Chambersburg-Waynesboro, PA Metro Area",2018,33295.1131313131,0,936.707070707071,1,43601,0
"Chambersburg-Waynesboro, PA Metro Area",2019,33050.018556701,0,849.319587628866,1,29775,0
"Chambersburg-Waynesboro, PA Metro Area",2020,18148.7368421053,1911.6,457.865497076023,25,12767,8
"Chambersburg-Waynesboro, PA Metro Area",2021,22014.206500956,1689.45454545455,498.237093690249,27.9090909090909,14940,8
"Champaign-Urbana, IL Metro Area",2018,59337.1234119782,0,1447.76950998185,1,59140,0
"Champaign-Urbana, IL Metro Area",2019,81491.5970695971,0,1901.67216117216,1,72490,0
"Champaign-Urbana, IL Metro Area",2020,63827.6815742397,35.5454545454545,1425.00357781753,1.81818181818182,55595,9
"Champaign-Urbana, IL Metro Area",2021,88815.99,1237.125,1804.48333333333,22.5625,120052,54
"Charleston, WV Metro Area",2018,77919.150779896,0,1918.18197573657,1,64138,0
"Charleston, WV Metro Area",2019,85532.4317789292,0,1895.11398963731,1,56479,0
"Charleston, WV Metro Area",2020,121553.932119205,484.826086956522,3037.9701986755,30.4782608695652,89664,19
"Charleston, WV Metro Area",2021,107436.048742138,627.666666666667,2247.03773584906,23.5,103752,13
"Charleston-North Charleston, SC Metro Area",2018,265259.157303371,8512.32142857143,6561.42415730337,302.535714285714,404554,1262
"Charleston-North Charleston, SC Metro Area",2019,271058.165229885,213.34375,6434.51149425287,10.59375,357207,232
"Charleston-North Charleston, SC Metro Area",2020,345466.186170213,169.586206896552,7636.35771276596,10.0689655172414,449308,21
"Charleston-North Charleston, SC Metro Area",2021,400217.267973856,15228.90625,7332.47843137255,385.625,521435,3455
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2018,1165953.91973684,69306.9705882353,23924.0315789474,2368.82352941176,1283399,8212
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2019,1132927.9883871,88492.5151515152,23023.3896774194,2984.0303030303,1256670,7709
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2020,1244448.48175182,109971.833333333,24459.7944038929,3001.30555555556,1656797,13294
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2021,1466691.8163017,128063.314285714,26165.9075425791,3144,1844780,17029
"Charlottesville, VA Metro Area",2018,67338.0547008547,0,1504.16923076923,1,86872,0
"Charlottesville, VA Metro Area",2019,72487.8860544218,0,1828.83163265306,1,85214,0
"Charlottesville, VA Metro Area",2020,106615.835365854,370.8,2475.62652439024,21.32,114773,20
"Charlottesville, VA Metro Area",2021,88981.2753164557,53.6818181818182,1729.51107594937,2.31818181818182,104303,13
"Chattanooga, TN-GA Metro Area",2018,205998.291666667,0,4978.47222222222,1,212462,0
"Chattanooga, TN-GA Metro Area",2019,195187.26875,249.454545454545,4632.8796875,39.1363636363636,180850,101
"Chattanooga, TN-GA Metro Area",2020,210133.573275862,580.814814814815,4545.5933908046,13.5925925925926,218117,62
"Chattanooga, TN-GA Metro Area",2021,212838.008275862,5114.52,4653.87724137931,121.28,240675,1020
