"NAME","Year","Total_Avg_Annual_Pay_Total","Total_Avg_Annual_Pay_Black_Business","Total_Avg_Employees_Total","Total_Avg_Employees_Black_Business","Total_Sum_of_Firms_Total","Total_Sum_of_Firms_Black_Business"
"Washington",2020,615058.335185185,16165.6847195358,11347.7059964727,428.218568665377,12732221,25601
"Washington",2021,735897.016322733,16018.7113043478,11099.2618403248,344.027826086957,13351113,34572
"West Virginia",2018,134818.044676098,2191.28318584071,3694.43509555721,78.1106194690265,1090935,1425
"West Virginia",2019,120128.839820066,1744.30472103004,3115.9966751418,63,1122457,1274
"West Virginia",2020,98329.9772032603,1906.96428571429,2669.26299032094,52.7922077922078,1486281,891
"West Virginia",2021,105186.642487047,5629.40255591054,2532.5173764691,202.428115015974,1630741,3389
"Wisconsin",2018,713685.876408938,9057.15555555556,16416.0984773581,384.891666666667,5465220,11961
"Wisconsin",2019,639794.822800889,6658.54885057471,14371.756748174,285.379310344828,6242589,9297
"Wisconsin",2020,542060.003814112,13913.576754386,12449.9893606343,760.427631578947,8205043,14461
"Wisconsin",2021,566853.413173653,7735.43722943723,11668.2497300481,240.214285714286,8656255,13246
"Wyoming",2018,56439.0363908275,19.7352941176471,1323.53240279163,1.52941176470588,656728,74
"Wyoming",2019,55399.5093896714,103.542168674699,1218.08255086072,3.75903614457831,832237,135
"Wyoming",2020,45925.9231524675,898.8779342723,1038.01694082986,28.2441314553991,1212140,1343
"Wyoming",2021,51336.5601284644,1021.14224137931,1114.56667063162,27.6077586206897,1336923,1646
